codi municipi,descripcio municipi,codi ABS,descripcio ABS,codi RS,descripcio RS,codi SS,descripcio SS,codi localitat,descripcio localitat
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713706,MIÀNEGUES
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713707,PERPINYANA
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713708,PLA DE CAN VILARNAU
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713709,PORQUERES
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713710,PRATDALLES
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713711,PRAT ROIG
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713712,PUIGSURÍS
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713713,PUJADA DE MIÀNEGUES
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713714,PUJARNOL
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713715,RAVAL DE MIÀNEGUES
17137,Porqueres,15,Banyoles,64,Girona,6462,Girona Sud,1713716,USALL
17138,Portbou,134,Llançà,64,Girona,6461,Girona Nord,1713800,PORTBOU
17138,Portbou,134,Llançà,64,Girona,6461,Girona Nord,1713801,MAS GERMEN
17138,Portbou,134,Llançà,64,Girona,6461,Girona Nord,1713802,PORTBOU
17138,Portbou,134,Llançà,64,Girona,6461,Girona Nord,1713803,VIL.LA ANTÒNIA
17139,Les Preses,171,Olot,64,Girona,6461,Girona Nord,1713900,PRESES
17139,Les Preses,171,Olot,64,Girona,6461,Girona Nord,1713901,BELLAIRE
17139,Les Preses,171,Olot,64,Girona,6461,Girona Nord,1713902,BOADA
17139,Les Preses,171,Olot,64,Girona,6461,Girona Nord,1713903,BOSCDETOSCA
17139,Les Preses,171,Olot,64,Girona,6461,Girona Nord,1713904,CAN CLOTA
17139,Les Preses,171,Olot,64,Girona,6461,Girona Nord,1713905,PLADEVALL
17139,Les Preses,171,Olot,64,Girona,6461,Girona Nord,1713906,POCAFARINA
17139,Les Preses,171,Olot,64,Girona,6461,Girona Nord,1713907,POLÍGON INDUSTRIAL DE LES PRESES
17139,Les Preses,171,Olot,64,Girona,6461,Girona Nord,1713908,PRESES
17139,Les Preses,171,Olot,64,Girona,6461,Girona Nord,1713909,SANT MIQUEL DEL CORB
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714000,PORT DE LA SELVA
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714001,ARNELLA
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714002,ARNELLA DE MAR
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714003,BARLOVENT
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714004,BELESER
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714005,CAMÍ DE LA VALL
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714006,CAP DE VOL
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714007,CARBONERA
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714008,EROLA
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714009,ESGLÉSIA VELLA
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714010,FIGUERASSES
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714011,HORTS
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714012,MIRADOR
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714013,MÓRA
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714014,PERABEUA
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714015,PERAFITA
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714016,PORT DE LA SELVA
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714017,REC DE CANET
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714018,SANTA ISABEL
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714019,VALL DE SANTA CREU
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714020,VISTA
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714021,ZONA DEL FAR
17140,El Port de la Selva,134,Llançà,64,Girona,6461,Girona Nord,1714022,ZONA INDUSTRIAL
17141,Puigcerdà,103,La Cerdanya,71,Alt Pirineu i Aran,7164,Alt Pirineu,1714100,PUIGCERDÀ
17141,Puigcerdà,103,La Cerdanya,71,Alt Pirineu i Aran,7164,Alt Pirineu,1714101,AGE
17141,Puigcerdà,103,La Cerdanya,71,Alt Pirineu i Aran,7164,Alt Pirineu,1714102,DEULOFÉU
17141,Puigcerdà,103,La Cerdanya,71,Alt Pirineu i Aran,7164,Alt Pirineu,1714103,GUINGUETA
17141,Puigcerdà,103,La Cerdanya,71,Alt Pirineu i Aran,7164,Alt Pirineu,1714104,PUIGCERDÀ
17141,Puigcerdà,103,La Cerdanya,71,Alt Pirineu i Aran,7164,Alt Pirineu,1714105,RIGOLISA
17141,Puigcerdà,103,La Cerdanya,71,Alt Pirineu i Aran,7164,Alt Pirineu,1714106,SANT MARC
17141,Puigcerdà,103,La Cerdanya,71,Alt Pirineu i Aran,7164,Alt Pirineu,1714107,SANT MARTÍ
17141,Puigcerdà,103,La Cerdanya,71,Alt Pirineu i Aran,7164,Alt Pirineu,1714108,VENTAJOLA
17141,Puigcerdà,103,La Cerdanya,71,Alt Pirineu i Aran,7164,Alt Pirineu,1714109,VILALLOBENT
17142,Quart,100,Cassà de la Selva,64,Girona,6462,Girona Sud,1714200,QUART
17142,Quart,100,Cassà de la Selva,64,Girona,6462,Girona Sud,1714202,CASTELLAR DE LA SELVA
17142,Quart,100,Cassà de la Selva,64,Girona,6462,Girona Sud,1714203,MONTNEGRE
17142,Quart,100,Cassà de la Selva,64,Girona,6462,Girona Sud,1714204,PALOL D'ONYAR
17142,Quart,100,Cassà de la Selva,64,Girona,6462,Girona Sud,1714205,QUART
17142,Quart,100,Cassà de la Selva,64,Girona,6462,Girona Sud,1714206,SANT MATEU DE MONTNEGRE
17142,Quart,126,Girona 3,64,Girona,6462,Girona Sud,1714200,QUART
